,id,text,created_at,retweet_count,favorite_count,user_id,user_screen_name,user_name,user_location
0,773382827807215617,#IWokeUp @McNeillShona https://t.co/HwM82WgWF4 #LOV3RZ Magazine September #Feature #MusicLov3rz #Music #Soul #Blues https://t.co/7rekc6GG9a,2016-09-07 04:50:09,0,0,2248977601,Lov3Lov3rz,Quiana #MusicLov3rz,Worldwide
1,773382497845379072,"Listening to #JimmyRushing singing the #blues! #NowPlaying ""T'aint Nobody's Bizness"" https://t.co/uNM7XjL9ab",2016-09-07 04:48:50,0,0,715086883,authordavidv,David Villanueva,CA
2,773382383437504513,Little Milton - We're Gonna Make It #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:48:23,0,0,795632389,blinddogradio,Blind Dog Radio,US
3,773381668229025793,"RT @Lisvnorrland: #RT My Playlist on SoundCloud
https://t.co/gZ5Z7piovK
#indie #rock #pop #punk #blues #funk #folk #classical #mellow https…",2016-09-07 04:45:33,2,0,998045598,AslundKen,Ken Åslund,Timrå
4,773381578202513408,Got My Whiskey - Mel Waiters | #Blues |98018335 https://t.co/3nfH0MqBod,2016-09-07 04:45:11,0,0,2799095357,lyndnns,Lynn, Massachusetts
5,773381365031170048,RT @blinddogradio: Eric Clapton - When You Got A Good Friend #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:44:20,1,0,246501884,47whitebuffalo,Eva Wojcik,this side of the Milky Way
6,773381282965360640,Detroit Jr. - Too Poor #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:44:01,0,0,795632389,blinddogradio,Blind Dog Radio,US
7,773380755535892480,RT @dragqueenremix: Have you heard ‘Garbage! [Gay EDM Blues] [DJ Robby H] [2016]’ by DJ Robby H on #SoundCloud? #np https://t.co/x1LMzkJtpz…,2016-09-07 04:41:55,1,0,2965818832,WittyEDM,Witty EDM,US
8,773380752801198081,RT @dragqueenremix: Have you heard ‘Garbage Remix! [Gay EDM Blues] [DJ Robby H] [2016]’ by DJ Robby H on #SoundCloud? #np https://t.co/lzI2…,2016-09-07 04:41:54,1,0,2965818832,WittyEDM,Witty EDM,US
9,773380562237218816,Eric Clapton - When You Got A Good Friend #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:41:09,1,2,795632389,blinddogradio,Blind Dog Radio,US
10,773379980768129024,Now playing https://t.co/dhUF0ythRU #jazz #blues,2016-09-07 04:38:50,0,0,4889346567,KenneyPolson,Kenney Polson,"Gresham, OR"
11,773379800362840064,Listening to Basin Street Blues by Louis Armstrong on https://t.co/99ZGXxa5mB! #Blues #np #nowplaying,2016-09-07 04:38:07,0,0,4860399552,Latitude23R,Latitude23 Radio,AZ
12,773379736194129920,Bill Gaither - See My Grieve Blues #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:37:52,0,0,795632389,blinddogradio,Blind Dog Radio,US
13,773379611342217216,"The new single by @Dougcash : Not Waiting.
https://t.co/kwNp77vjZJ
#blues #folk #rock",2016-09-07 04:37:22,0,0,17354047,Dougcash,Doug Cash,"Davis,Ca"
14,773378965914476544,Willie Mabon - Got to Have It #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 04:34:48,0,0,795632389,blinddogradio,Blind Dog Radio,US
