,id,text,created_at,retweet_count,favorite_count,user_id,user_screen_name,user_name,user_location
0,773625074075119616,"RT @sarahfrenchPR: We have 3 albums on the @CHSR979 charts this week inc. @PaulDeslaurier @bluemoonmarquee &amp; @PaulDReddick 
https://t.co/FZ…",2016-09-07 20:52:45,1,0,22856136,earshot_online,Earshot Magazine,CA
1,773624772596903936,@ABlueFlame It's My Pleasure! #GreatMusic #Unique Blend of #Jazz #Blues #Eclectic &amp; Highly #Relevant #Entertaining !! 💖🎶🎸🌟🌹☮❤️🎶🎭✨,2016-09-07 20:51:33,0,0,3152651863,SherryBabyRuth,Sherry Ruth,Mother Earth
2,773624749402517509,Buddy Guy - T-Bone Shuffle (with Junior Wells) #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 20:51:28,0,0,795632389,blinddogradio,Blind Dog Radio,US
3,773624590966808578,"RT @manni_best: ♫ MUSIC TIP ♫
Vanessa Delaine - @delaine2511
Playlist
https://t.co/zp5aBrEYYZ
#Femalevocalist #Songwriter #Blues #Country",2016-09-07 20:50:50,1,0,185906598,delaine2511,Vanessa Delaine,Australia
4,773624403498242049,RT @eltimdrake: Whiskey in My Brain. #leftlanecruiser #blues #punk #rockandroll #rock #music #guitar #vox… https://t.co/qj7b74XSHC,2016-09-07 20:50:05,0,0,701079005722767367,AimeeBarstaple,Aimee Barstaple,US
5,773624376705122305,"RT @lisamannmusic: At Tigardville Station Sat! Also, BB King Tribute Trails End Or City Sept 17, Lake Theatre Lk Oswego Sept 19 https://t.c…",2016-09-07 20:49:59,1,0,2190695390,DonSwings,Don Mazonas,UK
6,773624375912398848,RT @RadioMirabelle: Blindside Blues Band Slow Down https://t.co/jMrqdd2aJw  #RadioMirabelle #Blues #RadioMirabelle,2016-09-07 20:49:59,1,0,2190695390,DonSwings,Don Mazonas,UK
7,773624374448558080,RT @natetope: When your season ticket account says you have new events coming up!!! #blues #IsItOctoberYet,2016-09-07 20:49:58,1,0,2190695390,DonSwings,Don Mazonas,UK
8,773624373555105793,"RT @TheMusicRamble: I love that connection, as Patton and Wolf are the two biggest voices - and personalities - of their eras. #blues #lege…",2016-09-07 20:49:58,1,0,2190695390,DonSwings,Don Mazonas,UK
9,773624372527595520,RT @diggle84: Full time at Tenby Rfc @scarlets_rugby west 7 @cardiff_blues north 29 great win #blues #futurestars,2016-09-07 20:49:58,1,0,2190695390,DonSwings,Don Mazonas,UK
10,773624340357193733,Pat the keyboard player came round tonight for our first jam/rehearsal...sounding pretty good! #blues #music https://t.co/KIDMfI03PJ,2016-09-07 20:49:50,0,0,746230355221307396,chrismeliamusic,Chris Melia Music,"North West, England"
11,773624112358920192,San Diego Blues Fest is this Sat! Proceeds benefit @SDFoodBank. Visit https://t.co/rMYpjrXG1o to get tickets #blues https://t.co/hGbIf4xsm9,2016-09-07 20:48:56,0,0,86113611,BakerSolar,Baker Electric Solar,"Escondido, CA 92029"
12,773624030628896768,"RT @CommentaryLimbs: 'AND MARTINS HAS SURELY SCORED THE WINNING GOAL FOR BIRMINGHAM CITY'
Martins for Birmingham vs Arsenal
#bcfc #blues ht…",2016-09-07 20:48:36,172,0,284259276,KojoBlack_,Granit Pogba,East End/Medway
13,773624007958683649,Bryce Janey Funky Guitar Blues https://t.co/jMrqdd2aJw  #RadioMirabelle #Blues #RadioMirabelle,2016-09-07 20:48:31,0,0,3019985177,RadioMirabelle,Radio Mirabelle,France
14,773623905839788032,Post dinner live music with terrycashman83 at the #blues bar. Bumped into @earljames too!… https://t.co/LScpOvKG0g,2016-09-07 20:48:07,0,1,61772237,Mazza_P,Maria Pearson,UK
15,773623817482674177,Freddie King - I'm Ready #BlindDogRadio https://t.co/pq6J1zJUyd #blues #nowplaying,2016-09-07 20:47:45,0,0,795632389,blinddogradio,Blind Dog Radio,US
16,773623780753178624,Kansas singin' Carry On Wayward Son on LPCO Klassic Rock #classicrock #klassicrock #rocknroll #blues #onlineradio https://t.co/9GOA4lRU04,2016-09-07 20:47:37,0,0,4917336634,LPCORockRadio,LPCO Klassic Rock,UK
17,773623712843202560,RT @CordobaBlues: Tonight! Cesar Valdomir and John Primer at @StudioTheater 21.30 hs. #blues #cordobablues #CesarValdomir 🎷🎵,2016-09-07 20:47:21,1,0,453104849,PatricioBriceno,Pato Bric,"Cordoba, Argentina"
18,773623653602725888,RT @HaveMercyYEG: Don't miss your chance to see #blues phenomenon @Da_KINGFISH this Friday and Saturday on our stage! https://t.co/BMaCU8NV…,2016-09-07 20:47:06,2,0,225459699,oldstrathcona,Old Strathcona,"Edmonton, Alberta CA"
19,773623620073623553,Tonight! Cesar Valdomir and John Primer at @StudioTheater 21.30 hs. #blues #cordobablues #CesarValdomir 🎷🎵,2016-09-07 20:46:58,1,1,733406069569949696,CordobaBlues,Cordoba Blues,"Córdoba, Argentina"
20,773623171614248960,"Antonio says no midfield spot for David Luiz as ""the idea is to utilise him in the right position which, for me, is centre back"" #CFC #Blues",2016-09-07 20:45:11,0,0,365854454,SBOBET,SBOBET,US
21,773622750682439684,"The @VCBluesSociety is a #nonprofit org preserving #blues in #VenturaCounty. Become a member today! https://t.co/aGIc691SOM
#membership",2016-09-07 20:43:31,0,0,371933555,VCBluesSociety,VC Blues Society,"Ventura County, California"
22,773622719493574657,"Este sábado Country &amp; Blues en Las Diagonales, entrada libre y gratuita #countrywestern #blues #countrymusic https://t.co/w6jiqjLRv2",2016-09-07 20:43:24,0,1,2276821332,NAyLaLadyBlue,Nico Appolloni,La Plata
23,773622679467208714,"#StLouis 3 St. Louis #Blues SGA Bobbleheads Alex Pietrangelo, David Backes,… https://t.co/8b8PSlZTV2 #NHL #Hockey https://t.co/3OsZmYelVg",2016-09-07 20:43:14,0,0,711894735514902528,FaithCrossman,Faith Crossman,US
24,773622557320810498,#newyork #blues #fashionweeknewyork #nyfw #streetfashion by #leica #photographer #thorsten… https://t.co/hGw9UlJxNM https://t.co/aB8Oz9BYHU,2016-09-07 20:42:45,0,4,19583340,overgaard,@overgaard,"Denmark, Hong Kong, Singapore "
25,773622486491598849,RT @SofarLondon: Ever want to travel from London to the south of the US in a heartbeat? Listen to @RJHunterMusic #Blues #SofarLdn https://t…,2016-09-07 20:42:28,2,0,29749993,Sonyawebbtweets,Sonya Webb,UK
26,773622466577108992,Chicago singin' Questions 67 &amp; 68 on LPCO Klassic Rock #classicrock #klassicrock #rocknroll #blues #onlineradio https://t.co/9GOA4lRU04,2016-09-07 20:42:23,0,0,4917336634,LPCORockRadio,LPCO Klassic Rock,UK
27,773622446171774976,Live Music #blues #live #concert https://t.co/Pp0cd6qotR,2016-09-07 20:42:19,0,0,419872211,gaelgeffroy,Geffroy Gaël,Bordeaux
